"AAS
(Atomic Absorption Spectrometry) : Quang ph? h?p th? nguyên t?","AAS
(Atomic Absorption Spectrometry) : Quang ph? h?p th? nguyên t?
Ý ngh?a:
Ph??ng pháp phân tích các nguyên t? hóa h?c d?a trên nguyên lý h?p th? c?a h?i nguyên t? ??c tr?ng cho nguyên t? ?ó. Th??ng ???c ?ng d?ng ?? phân tích các nguyên t? kim lo?i"
"Abaqus
(Ph?n m?m mô ph?ng Abaqus)","Abaqus
(Ph?n m?m mô ph?ng Abaqus)
Ý ngh?a:
Abaqus FEA là m?t b? ph?n m?m ?? phân tích ph?n t? h?u h?n và k? thu?t h? tr? máy tính, ???c ?ng d?ng nhi?u trong công vi?c mô ph?ng k?t c?u xe h?i"
"Abnormal
(B?t th??ng)","Abnormal
(B?t th??ng)
Ý ngh?a:
Bi?u th? tr?ng thái, ?i?u ki?n, ho?c b?n ch?t không bình th??ng ho?c khác bi?t v?i nh?ng gì ???c cho là bình th??ng"
"Abnormal charging 
(S?c b?t th??ng)","Abnormal charging 
(S?c b?t th??ng)
Ý ngh?a:
Quá trình th? nghi?m s?c v??t quá nh?ng ?i?u ki?n thông th??ng (c??ng ?? dòng, ?i?n áp, th?i gian...) nh?m ki?m tra tính an toàn c?a pin"
"Absorption
(H?p th?)","Absorption
(H?p th?)
Ý ngh?a:
H?p th? trong hóa h?c là hi?n t??ng v?t lý hay hóa h?c mà ? ?ó các phân t?, nguyên t? hay các ion b? hút khu?ch tán và ?i qua m?t phân cách vào trong toàn b? ch?t l?ng ho?c r?n. Khác v?i quá trình h?p ph? là quá trình mà các phân t? ch? bám trên b? m?t phân cách pha"
"Abusive charging
(S?c l?m d?ng)","Abusive charging
(S?c l?m d?ng)
Ý ngh?a:
Quá trình s?c l?m d?ng ? m?c cao (v??t quá ?i?u ki?n s? d?ng thông th??ng qui ??nh b?i nhà s?n xu?t) có th? phát sinh r?i ro an toàn cho pin"
"AC Charge Mode
(Alternating Current Charge Mode) : Ch? ?? s?c dòng ?i?n xoay chi?u","AC Charge Mode
(Alternating Current Charge Mode) : Ch? ?? s?c dòng ?i?n xoay chi?u
Ý ngh?a:
Hi?n t?i các xe ô tô ?i?n h? tr? 2 ch? ?? s?c dòng AC và DC. ? ch? ?? s?c dòng AC, xe s? ???c cung c?p ?i?n áp AC qua súng s?c, xe t? bi?n ??i ?i?n AC thành DC và s?c cho pin. ? ch? ?? s?c dòng DC, xe s? ???c cung c?p ?i?n áp DC qua súng s?c và s?c tr?c ti?p cho pin mà không thông qua b?t k? b? bi?n n?i nào trên xe."
"AC charger
(B? s?c dòng xoay chi?u)","AC charger
(B? s?c dòng xoay chi?u)
Ý ngh?a:
Dòng ?i?n s? ???c bi?n ??i t? AC thành DC và s?c cho pin xe ?i?n. ?ây là lo?i s?c ph? bi?n nh?t do ngu?n ?i?n c?p cho tr? s?c th??ng l?y t? l??i ?i?n là ngu?n AC"
"AC resistance tester 
(Alternating Current resistance tester ) : Máy ?o ?i?n tr? xoay chi?u","AC resistance tester 
(Alternating Current resistance tester ) : Máy ?o ?i?n tr? xoay chi?u
Ý ngh?a:
Là thi?t b? h? tr? ?o n?i ?i?n tr? xoay chi?u và ?i?n áp pin ??ng th?i ? t?n s? cao cho dây chuy?n s?n xu?t th? nghi?m c?a pin Lithium-ion. Máy ki?m tra ?i?n tr? trong c?a pin (Hioki-BT3563) có th? ?o ?i?n áp và ?i?n tr? c?a các mô-?un pin, b? pin ?i?n áp cao, pin Lithium và các lo?i pin l?n khác lên ??n 300 V. Ph?m vi ?o ?i?n tr? và ph?m vi ?o ?i?n áp ?ang s? d?ng l?n l??t là (3 m? - 3000 ?), (10µV - 6V)."
"Accumulation
(Tích t?)","Accumulation
(Tích t?)
Ý ngh?a:
S? t? l?i c?a các h?t v?t ch?t"
"Accuracy
(?? chính xác)","Accuracy
(?? chính xác)
Ý ngh?a:
?? chính xác c?a phép ?o, thi?t b?, máy móc, thông s? thi?t k? ho?c các giá tr? khác"
"ACIR
(Alternating Current Internal Resistance) : ?i?n tr? n?i c?a dòng ?i?n xoay chi?u","ACIR
(Alternating Current Internal Resistance) : ?i?n tr? n?i c?a dòng ?i?n xoay chi?u
Ý ngh?a:
N?i ?i?n tr? c?a dòng ?i?n xoay chi?u, là ?i?n tr? ???c ?o t?i t?n s? dòng xoay chi?u (th??ng là 1000Hz). Nó ??i di?n cho t?ng ?i?n tr? ?i?n t? c?a các v?t li?u ho?t tính trong pin, bao g?m v?t li?u ?i?n c?c, b? thu dòng ?i?n và tab, c?ng nh? m?c ?? các thành ph?n này ti?p xúc v?i nhau. D??i t?n s? cao nh? v?y, ch? có n?i ?i?n tr? ?i?n t? m?i có th? ph?n ?ng l?i hi?u qu?. "
"ACM
(Airbag Control Module) : Mô-?un ?i?u khi?n túi khí","ACM
(Airbag Control Module) : Mô-?un ?i?u khi?n túi khí
Ý ngh?a:
ACM là m?t h? th?ng an toàn th? ??ng ???c l?p ??t bên trong cabin xe ô tô. Các c?m bi?n ???c l?p ??t t?i nhi?u v? trí trên xe ô tô s? phát hi?n x?y ra va ch?m và g?i tín hi?u ??n ACM. ACM s? ?i?u khi?n kích ho?t các túi khí ph?ng lên ngay l?p t?c ?? làm gi?m ch?n th??ng cho hành khách trên xe."
"Activation polarization
(Kích ho?t phân c?c)","Activation polarization
(Kích ho?t phân c?c)
Ý ngh?a:
Là m?t quá trình ?i?n hóa gây ra do m?t quá th? làm l?ch cell ?i?n hóa kh?i tr?ng thái cân b?ng khi có dòng ?i?n ?i qua cell ?i?n hóa ?ó. M?t quá th? d??ng  s? x?y ra ph?n ?ng oxi hóa"
"Active cell balancing
(Cân b?ng cell ch? ??ng)","Active cell balancing
(Cân b?ng cell ch? ??ng)
Ý ngh?a:
Là ph??ng pháp cân b?ng cell s? d?ng m?ch ?i?n t? ?? chuy?n n?ng l??ng t? cell ch?a nhi?u n?ng l??ng sang cell ch?a ít n?ng l??ng h?n. Ph??ng pháp này có ?u ?i?m ti?t ki?m n?ng l??ng nh?ng nh??c ?i?m là chi phí ph?n c?ng ??t và khó th?c hi?n."
"Active cooling
(Active cooling) : Ph??ng pháp làm mát ch? ??ng","Active cooling
(Active cooling) : Ph??ng pháp làm mát ch? ??ng
Ý ngh?a:
Ph??ng pháp làm mát/t?n nhi?t d?a vào các thi?t b? bên ngoài nh? qu?t, ch?t l?ng làm mát, ... ?? ??t ???c hi?u qu? t?n nhi?t cao"
"Active material
(V?t li?u chính )","Active material
(V?t li?u chính )
Ý ngh?a:
Là n?i x?y ra các ph?n ?ng hóa h?c chính c?a pin, v?i c?c d??ng là NCA, NCM, LFP hay v?i c?c âm là graphite"
"Active material volume fraction
(Ph?n kh?i l??ng c?a v?t li?u ho?t ??ng)","Active material volume fraction
(Ph?n kh?i l??ng c?a v?t li?u ho?t ??ng)
Ý ngh?a:
Là ph?n chi?m ch? c?a v?t li?u ho?t ??ng trên ?i?n c?c tính theo th? tích"
"Actual SOC
(Actual state of charge) : Dung l??ng còn l?i th?c t? c?a battery","Actual SOC
(Actual state of charge) : Dung l??ng còn l?i th?c t? c?a battery
Ý ngh?a:
Actual SOC là thông s? th? hi?n ph?n tr?m dung l??ng còn l?i th?c t? so v?i dung l??ng t?i ?a c?a battery. Ví d?: Battery c?a VFe34 có dung l??ng th?c t? là 104.5 Ah, n?u actual Soc = 50% thì có ngh?a là dung l??ng còn l?i c?a pack VFe34 t?i th?i ?i?m ?ó b?ng 0.5*104.5 = 52.25 Ah."
"ADAS
(Advanced Driver Assistant System) : H? th?ng h? tr? lái xe","ADAS
(Advanced Driver Assistant System) : H? th?ng h? tr? lái xe
Ý ngh?a:
ADAS là h? th?ng h? tr? lái xe nâng cao. ?ây là m?t h? th?ng ?i?n t? h? tr? ng??i ?i?u khi?n ph??ng ti?n lái xe an toàn và thu?n ti?n h?n."
"ADC
(Analog to Digital Converter) : Chuy?n ??i t??ng t? sang s?","ADC
(Analog to Digital Converter) : Chuy?n ??i t??ng t? sang s?
Ý ngh?a:
ADC là m?t kh?i ch?c n?ng chuy?n ??i tín hi?u t??ng t? (ví d? nhi?t ??, ánh sáng, …) thành tín hi?u s? (d?ng nh? phân)"
"ADD
(Automotive Data Dictionary) : T? ?i?n d? li?u ô tô","ADD
(Automotive Data Dictionary) : T? ?i?n d? li?u ô tô
Ý ngh?a:
ADD (T? ?i?n d? li?u ô tô) t?p h?p các d? li?u và ??nh ngh?a t??ng ?ng (v? ??nh d?ng, ki?u d? li?u, tên g?i, mô t?, kích th??c, ch?c n?ng...), h? tr? vi?c s? d?ng chung d? li?u trong phát tri?n ph?n m?m t? m?t kho d? li?u duy nh?t"
"Additive
(Ph? gia)","Additive
(Ph? gia)
Ý ngh?a:
Ch?t ???c thêm vào thành ph?n nguyên li?u v?i l??ng nh? trong quá trình gia công ?? c?i thi?n tính ch?t c?a s?n ph?m"
"Adhension
(S? bám dính)","Adhension
(S? bám dính)
Ý ngh?a:
Xu h??ng c?a các h?t ho?c b? m?t không gi?ng nhau bám vào nhau. L?c liên k?t là l?c t?nh ?i?n ho?c l?c c? h?c"
"AEC-Q100
(Automotive Qualified for IC) : Tiêu chu?n ô tô cho linh ki?n bán d?n IC","AEC-Q100
(Automotive Qualified for IC) : Tiêu chu?n ô tô cho linh ki?n bán d?n IC
Ý ngh?a:
AEC-Q100 là tiêu chu?n ki?m tra d?a trên c? ch? l?i cho các IC tích h?p ???c s? d?ng trong các ?ng d?ng ô tô. Thông s? k? thu?t này ?ã ???c thi?t l?p b?i H?i ??ng ?i?n t? Ô tô (AEC) ?? xác ??nh các yêu c?u và quy trình ?? ?i?u ki?n cho các m?ch tích h?p ?óng gói ???c s? d?ng trong ngành công nghi?p ô tô. M?t thi?t b? ?? tiêu chu?n AEC-Q100 có ngh?a là thi?t b? ?ã v??t qua các bài ki?m tra ???c ch? ??nh và ??m b?o m?t m?c ch?t l??ng/?? tin c?y nh?t ??nh.
Có b?n ph?m vi nhi?t ?? ???c xác ??nh theo C?p 0, 1, 2 và 3 trong AEC-Q100. Các ph?m vi này ph? thu?c vào ph?m vi nhi?t ?? ho?t ??ng c?a IC."
"AEC-Q200
(Automotive Qualified for passive components) : Tiêu chu?n ô tô cho linh ki?n th? ??ng","AEC-Q200
(Automotive Qualified for passive components) : Tiêu chu?n ô tô cho linh ki?n th? ??ng
Ý ngh?a:
Tiêu chu?n AEC-Q200 là tiêu chu?n toàn c?u v? kh? n?ng ch?ng ch?u l?c mà m?i linh ki?n ?i?n t? th? ??ng (?i?n tr?, t? ?i?n, ?i?n c?m, ...) ph?i ?áp ?ng ?? s? d?ng chúng trong ngành công nghi?p ô tô. M?c ?ích c?a nó là duy trì tiêu chu?n v? kh? n?ng ch?u nhi?t ?? và áp su?t c?ng nh? ??m b?o tính nh?t quán c?a các thông s? k? thu?t an toàn c?a các b? ph?n th? ??ng. Tiêu chu?n này ???c công b? b?i H?i ??ng ?i?n t? Ô tô (AEC), m?t t? ch?c có tr? s? t?i Hoa K? ??t ra các tiêu chu?n ch?t l??ng cho các thành ph?n ???c s? d?ng trong ngành công nghi?p ô tô.
Có n?m ph?m vi nhi?t ?? ???c xác ??nh theo C?p 0, 1, 2, 3 và 4 trong AEC-Q200."
"AFCs
(Alkaline Fuel Cells ) : Pin nhiên li?u ki?m","AFCs
(Alkaline Fuel Cells ) : Pin nhiên li?u ki?m
Ý ngh?a:
Còn ???c g?i là pin nhiên li?u Bacon. Pin nhiên li?u có thành ph?n ph?n ?ng là ki?m, tiêu th? hydro và oxy tinh khi?t ?? t?o ra ?i?n, n??c và nhi?t"
"Affinity 
(Ái l?c)","Affinity 
(Ái l?c)
Ý ngh?a:
 Là thu?c tính ?i?n t? mà các ch?t hóa h?c không gi?ng nhau có kh? n?ng hình thành các h?p ch?t hóa h?c. Th? hi?n xu h??ng nguyên t? hay h?p ch?t k?t h?p v?i nguyên t? hay h?p ch?t khác thông qua ph?n ?ng hóa h?c"
"AFM
(Atomic Force Microscopy) : Kính hi?n vi l?c nguyên t?","AFM
(Atomic Force Microscopy) : Kính hi?n vi l?c nguyên t?
Ý ngh?a:
Kính hi?n vi s? d?ng m?t ??u dò c? h?c và tín hi?u laser ?? tái t?o hình ?nh hai hay ba chi?u c?a b? m?t m?u v?t. Là ph??ng pháp t?o ?nh hình thái b? m?t m?u v?t trong ?i?u ki?n không c?n s? d?ng chân không."
"Agglomerate
(K?t t?)","Agglomerate
(K?t t?)
Ý ngh?a:
Là s? k?t t? l?i c?a các h?t v?t ch?t, t?o thành v?t li?u d?ng b?t hay h?t. S? k?t t? này d?a trên các liên k?t v?t lý hay hóa h?c l?ng l?o, tùy thu?c vào ph??ng pháp hay quá trình hình thành."
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
,
